message,lable
Battery temperature is below <100> degrees Celsius.,1
Decrease altitude andproceed with caution.,0
Return to homeand land promptly.,0
Aircraft ActiveVehicles available at max speed.,0
Running FlightSimulator.,1
Gimbal calibration error.,1
Aerial GPS interference.,1
Navigation system error.,1
In FlightControl,0
sprayed <UNK> at <UNK> liters/etc.,1
EMMC is full.,1
Return-to-Home Mode is nowcalled Landing Mode.,1
Gyroscope initialization failed.,1
Gimbal motor overloadedmotorcycle,1
Aircraft is in QuickShot Mode.,0
Flying at a safe altitude.,0
Ensure aircraft is level before takingflight.,0
SD card write speed ispainfully slow.,1
Aircraft processor overheated.,1
Fly in a wind-free environment to ensure flight safety.,0
MaximumMovement Distance Reached.,1
Enable Multiple Flight Modes in Settingsmenu to change.,0
Maximum Flight Distance Reached.,1
"During Smart Track, you can control lens zoom within a certaindistance.",0
Arrived at End Point.,1
satellite image transmission signal.,1
Gimbal Recenter.,1
Downlink Restored (after 0m <NUM> .3s).,1
Detach battery andreinstall it.,0
Fly safely.,0
Power off aircraft and wait for temperature to return to normal.,0
Tap to choose a valid zone.,0
Sensing system is blocked or too closeto the obstacle.,1
Landing() function restored.,1
Be careful when flying long distances.,0
Battery Alert.,1
Please changeyour battery.,0
"Acoin is tilted,",1
Aircraftcrashes automatically.,1
Calibrate IMU.,0
Adjust altitude in MC Settings if required.,0
Strong Interference toPrivacy.,1
Switched to A (Attitude)-mode.,1
Battery: LowVoltage Protection.,1
Failed to take off.,1
GEO Zone Info: Thetarget area is in an Altitude Zone.,1
Image Transmission RecoveredSource,1
Forward vision sensor error.,1
Aircraft close to Home Point.,1
Not Enough Force/PoC Error.,1
Ground Plain.,0
Arrived at Start Point.,1
"Excessive attitude angle detected,",1
Approaching a No-FlyZone.,1
Please check the Compass installation and interference.,0
Account not logged in.,0
EMMC is fullschedule,1
Propeller guard or extra payloadcarrier.,1
Landing Gear Raised.,1
Aircraft power insufficient.,1
Aircraft pitch angle too large.,1
SearchingInterest,1
Motor <UNK> propeller detached or installed incorrectly.,1
Critically low power.,1
Calibration targetis far away enough.,1
Gimbal Pitch Limit Reached.,1
Airircraft settings updated to comply with national regulations.,1
Wind resistance affected.,1
Approaching NFZ or pre-set distance limit of ( <UNK> ).,1
Unable to takeseriously.,1
"Report Error,",1
SignalWarning.,1
"If the issue persists, replace battery.",0
Throttle up to reduce the speed of descent and use sticks to avoidcollisions.,0
Setting new Return-To-Home altitude to <UNK> .,1
Precision Landing.,1
Aircraft switched to ATTI mode.,1
MeteringSystems.,1
Metering disabled.,1
Downlink Restored (after 0m <NUM> .5s).,1
Move away from sourcescausing interference before attempting flight.,0
The aircraft is flying back to the start point.,1
Check the USB connection with aircraft.,0
Barometer Dead in Air.,1
Ground PlainFire,0
Obstacle Avoidance will behelpful in landing.,1
Aircraft is in Sport Mode.,0
Sprayer turned ON.,1
Battery: Connection Error404,1
Camera storage full.,1
"During Smart Track, you can control lens zoom within a certain limit.",0
Flight distance may exceed line-of-sight.,1
Charging Gear Raised.,1
cannot enter playback.,0
Strong windstorms.,1
Landing Protection Activists.,1
Obstacle Avoidance disabled.,1
Calibrationratio is too close.,1
Aircraft GPS signal too weak.,1
RTH altitude adjusted to <UNK> .,1
ForwardSpectacle Sensing not Working.,1
Ensure control sticks are centered during takeoff.,0
Aircraft ActiveTrack available at max speed.,0
Solution: Move away from ground magnetic interference.,0
Tap thebutton lightly to focus.,0
Strong Interference to Remote Controller.,1
Please move the aircraft away from potential interference source or calibrate the compass.,0
Then tap Go.,0
Stick movement detected.,1
Then tap Go!,0
Return home now.,0
InitiatingBack to Home will now trigger Auto Landing.,1
Aircraft is close to the Home Point.,1
Return aircraft to an area nearby the home point promptly and fly in a wind-free environment to ensure flight safety.,0
Adjust the distance in MC Settings if required.,0
DSU attitude restricted.,1
Ensure there are no metal or magnetic objects near the aircraft and calibrate it before use.,0
Adjustable controller antennas.,0
Ensure there are no metal and magnetic objects near the aircraft and calibrate compass.,0
Cannotselect the selected flight mode.,1
Food quality affected.,1
Forward vision sensor calibration error.,1
Aircraft is close to Home PointAirport,0
Landlords return to home promptly.,0
Returning to the Home Point.,1
Try again later.,0
Aircraft returning to home.,1
Mobile device CPU fully loaded.,1
Please change the battery.,0
Cannot Identify Subject.,1
Payload modeenabled.,1
Yaw Error.,1
Restricted aircraft.,0
Panorama Captured Successfully.,1
Downlink Restored (after 0m<NUM> .4s).,1
Gimbal motor overloaded.,1
return to home immediately.,0
Avoid wireless interference.,1
Correcting Landing Position.,1
Max Altitude ApproachedToday,1
Warning:Extreme Timeout.,1
Automaticallyreturned to home.,1
Panorama has stopped.,1
APplayback has been enabled.,1
"After powering off the aircraft, replace the propeller onthe beeping ESC.",0
Weak signal.,1
Exiting GPS mode:,1
Accelerator is Over Range.,1
Home Point notFound.,1
Rotation Altitude : 98FT.,0
Ensure the aircraft remains within your line of sightand fly with caution.,0
Accelerator isDynamic Range.,1
Wind resistancetechniques.,1
Message limit enabled.,1
Checkout motors and propellers.,0
Obstacle Avoidance disabled.,1
Remote controller battery level lowvoltage,1
Forward Obstacle Sensing is not functioning.,1
Recalibrate using a subject that is farther away.,0
Cannot enable Followthrough Mode.,1
Aircraft flightdiagram obtained by remote controller B.,1
Strong Interference Now.,1
Switched to A-(Attitude)-mode.,1
Battery cells undervoltage.,1
Warning: Command Failed.,1
Lower altitude immediatelycan return to home manually.,0
Aircraft GPS interference.,1
Kilometer Dead in Air.,1
IMU warming up.,1
Right Dial LockedDown,1
Charging Gear Lowered.,1
Downlink Restored (after 0m <NUM>1017s).,1
Hovering unstable.,1
Contact DJI Support for assistance.,0
"aircraft braking distance is extended,",0
Onlyinfrared sensors available.,0
Downward infrared sensor failure.,1
Manned aircraft approaching.,1
Aircraft ActiveTrack max speed of <UNK> and Obstacle Avoidance functions normally.,0
BrakingOut!,0
USB Controller Right Dial Locked.,1
Setting new Return-To-Home altitude to<UNK> .,1
Your height too low.,1
Aircraft takeoff altitudewarning.,1
Cannot enter TapFly Mode:,1
Flight altitude exceeds <UNK> .,1
Downlink Restored (after 0m <NUM> .9s):,1
Use the RC to control aircraft yaw.,0
Please move the aircraft away from potential interference source or calibrate the compass.,0
Cannot Enter TapFlyor fly in that direction.,1
Fly in apesticide-free environment to ensure flight safety.,0
Strong Interference Detected.,1
"If the issue persists, contact DJI Support.",0
APIAPIs Return Home.,1
IMHO warming up.,1
Camera Settings Adjusted.,1
Avoid the obstacle!,0
The gimbal is moving.,1
Gimbal calibratingalgorithm,1
DescendingSpecies,1
No use to move the stick right.,0
Battery installationinstructions.,1
Exposure time is too long.,1
Failed to cancel landing.,1
Battery installation error.,1
Check the motors and propellers.,0
Camera Settings Adjusted to ActiveTrack.,1
Backward obstacle sensing is unavailable.,0
Aircraft landing automatically.,1
Not Enough Force/ESC Error.,1
Battery: Low Voltage Protection.,1
Aircraft will beallowed to land.,1
Approaching NFZ or pre-set distance limit of ( <UNKNOWN> ).,1
Restart Aircraft.,0
Flying without broadcasting required remote ID messages may violate locallaw.,0
Ensure the aircraft battery is properly connected.,0
Detectable subject.,1
Forward obstacle sensing is unavailable.,0
Please check the Compass installation and interference.,0
Flight altitude exceeds <UNKNOWN> .,1
Warning: Command Timeout.,1
Advanced Settings Adjusted to ActiveTrack.,1
Aircraft will decelerate to ensure safety.,0
RTH Altitude is700m.,0
Propellers rotating too fast.,1
Check propellers and flywith caution.,0
Ensure aircraft is levelmaintained,0
Returning to the Home Point.,1
Failed toavoid landing.,1
CheckYour Status.,0
Aircraft settings updated to comply with national regulations.,1
Calibration target not far away enough.,1
Gimbal Roll Limit Reached.,1
Related performance will benoted.,1
Downlink Restored (after 0m <NUM> .7s).,1
Wait for the GPS satellite signal recovery before ascend.,0
Taking Off.,1
Max altitude set to <UNK> and max distance set to <UNK> to ensure flight safety.,1
Tap the screen to focus.,0
Aircraft unable tofly stably.,1
RTH : Ascending to RTH altitude.,1
Aircraft is landing.,1
Min Waypoint Distance: <UNK> .,1
Check whether propeller on beeping ESC is warped or damaged.,0
Contact DJI Support if this error persists after restarting.,0
Aircraft Core Board OverheatedAircraft,1
RTH Altitude is <UNK> .,0
Lighting environment too dark.,1
go home shifts to landing.,0
Make sure the remote controller is facing aircraft and avoid blocking the signal.,0
Move away from sources of interference before attempting flight.,0
Flight height too low.,1
Land or return to home promptly.,0
Braking now!,0
GimbalSpeed Limit Reached.,1
Warning: Motor Obstructed.,1
Aircraftcarrier.,1
Stick movement detected!,1
Magnetic Field Interference.,1
Ensureful enviornment is free of potential obstacles.,0
Gimbal <UNK> pitch axis endpoint reached.,1
Searching .,1
Tap Fly Flight Ended LandingRate Lowered.,0
No SDcard.,1
Check for objects blocking motor or contactBCI Support for assistance.,0
entailed to lower or pack up landing gear.,1
Home Point not updated.,1
Camera RCAM not connected.,1
Subject too Small.,0
Obstacle Avoided.,1
Forward visionsensor calibration error.,1
Compass Error.,1
Restart aircraft to take off.,0
Fly with Caution.,0
Camera storageoptions.,1
Ambient Light is too weak.,1
A passenger aircraft is approaching.,1
ActiveTrack Flight Stopped.,1
Left and right Obstacle Sensing systemsare available.,0
Current RTH route will pass a No-Fly zone.,1
Lower altitude immediately and return to home manually.,0
Altitude is too large.,1
Battery not installed properly.,1
Battery error.,1
Aircraft will not enter S-mode if powered on with the remote controller set to S-mode.,0
Aircraft flight control unlocked.,1
The flight attitude angle is larger in Sport mode.,1
Home PointReview.,1
AircraftGone Far.,1
ObstacleGuidance is not available.,0
Compassively failed.,1
"Home Point Recorded,",1
Gimbal Recenter.,1
Downlink Restored (after 0m <NUM> .1sec).,1
Battery temperature is below <NUM> degrees Celsius.,1
please replace the battery.,0
Downlink Restored (after 0m <NUM> .4s).,1
Return the aircraft to an area nearby the home point promptly to ensureflight safety.,1
Obstacle Avoidance hasbeen disabled.,1
Simone is Vibrating.,1
Press C1 or C2 to exit.,0
Cannot enter playback.,0
"He sticks to midpoints, then continue flying.",0
Go to Profile > Settings toupdate firmware.,0
Aircraft switched to ATTI mode.,1
Aircraft is entering a restricted area.,1
Downward altitude sensor data errorcorrection,1
Weak signalgenerator,1
Current elevationelevation <UNK> .,0
Aircraft flight control locked.,1
Ensure you have obtained proper airspace authorization.,0
Anotherstorm is approaching.,1
Temp Max Altitude: <UNK> .,0
Visionographical error.,1
Loading database failed.,1
You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH.,0
"Please switch to Normal mode, then back to S-mode to enable it.",0
Flight altitude restricted to <UNK> .,1
Control Signal Timeout (RC).,1
Press C1 or C2to exit.,0
Spoiler Alert.,1
"Tip: Aircraft reached maximum distance, please pay attention to flight safety.",0
Aircraft will automatically descend in <UNK> .,1
Forward Obstacle Sensing willbe automatically switched off.,1
ActiveTrack Flight Paused.,1
Only infrared sensors available.,0
Aircraft flight control obtained by remote controller A.,1
Ensure the aircraft remains within your line of sight and fly with caution.,0
"Camera busy,",1
Return to home promptly.,0
Unable to display nearby manned aircraft and anti-collision warnings.,1
Exited Visual Avoidance System.,1
Aircraft is returning home.,1
Adjust RTH altitude to above tallest surrounding buildingwhile flying.,0
Aircraft unstable at low altitude.,1
Return the aircraft to home manually.,0
Right Dial Locked.,1
Motor isidling (lost or missing propeller).,1
Flight altitude restricted to <UNK> .,1
Excessive gimbal vibrationEdit,1
Abnormal compass function or GPS signal detected.,1
Aircraft unable to auto hover and takeoff restricted.,1
Remote Controller Right Dial Locked.,1
Descend as soon aspossible.,0
Visual positioning inaccurate.,1
Contact DJI Supportto arrange for repairs.,0
Correcting LandingErrors.,1
Downlink Restored (after 0m <NUM> .6s):,1
Vision sensor error.,1
Signal interruption may be more likely.,0
Aircraftcruise control obtained by remote controller A.,1
Aircraft too Far.,1
Arrived at StartPoint.,1
Exit P-GPS Mode.,0
Max altitude reached (Altitude limit: <UNK> )</s>,1
Please fly away with caution.,0
Landing Gear Lowered.,1
Unlocking takeoff restrictions not recommended.,1
Warning: Battery Temperature Below <NUM> C (59F),1
Rectifying aircraft position.,1
Contact DJI Support if this errorpersists after restarting.,0
Maximum flight distance reached.,1
Gimbal Roll Limit Reached.,1
Reinstall batterycharger,0
RTH : Preascension.,1
"Tip: Aircraft reached maximum distance, please pay attention toyour safety.",0
Downlink Lost.,1
The gimbal is moving.,1
Check and link phone number.,0
Left and right Obstacle Sensing systems are available.,0
Tap to choose a valid zone.,0
Remote controller signal lost.,1
Contact DJCustomer Support if this persists.,0
Ensure you have obtained properauthentication authorization.,0
Strong AircraftPreference.,1
Exit Travel Mode.,0
Compass Redundancy Switch.,1
Getting lost.,1
Image transmission signal lost.,1
Restart AircraftLines,0
Arrived at destinationairport,1
Obstacle Avoidance Disabled.,1
Ensure aircraft is level before taking off.,0
Take off and retry this function.,0
Yourcamera is too close to the aircraft.,1
Setting new Maximum Flight Altitude to <UNK> .,1
Arrived at destination.,1
Technically Low Power.,1
Motor is Blocked.,1
Check whether propeller on beeping ESC is warped or damaged.,0
Checkout.,0
Aircraft will decelerate during landing.,1
Aircraftcruise control unlocked.,1
"Exit Backward Forward Downward Upward Sensing system,",0
Recenter Gimbal Pan.,0
Videos and photoscan still be shot in D-Log mode.,1
Aircraft may be inviolation of local laws and regulations.,0
Takingaction.,1
CrystalSky is too hot.,1
Changeable.,1
Exited Cruise ControlProcedures.,1
Cannot enter Pano mode.,1
Make sure the remote controller is facing aircraftto avoid blocking the signal.,0
Take care of your gimbal when landing.,0
Battery: Connection Error.,1
Rectifyingseating position.,1
Wait for the GPS satellitesignal recovery before ascend.,0
please descend to a safer altitude.,0
nerve cells undervoltage.,1
Downlink Restored (after 0m <NUM> .9s).,1
Aircraft approaching obstacle sensing blind spot and may be unable to detect obstacles.,0
"If the issue persists, contact DJI Support.",0
Aircraft Landing.,1
IMAGE not calibrated.,1
Manned aircraft detected nearby.,1
Object too close to laser rangefinder.,1
Cannot exit ActiveTrack.,1
navigation systems and obstacle avoidance disabled.,1
Aircraft is now following you.,1
Unable to take off.,1
Subject: Small.,0
Aircraft stopped.,1
Downward infrared sensor failureEdit,1
Aircraft stopped.,1
calibration required.,1
High altitudeskiing,0
Intelligent Flight Modes have not been enabled.,1
Compass direction is not the same with IMU.,1
<NUM> . Calibrate CompassPoint Takeoff.,0
Warning: Motor Overloaded.,1
SD card write speed is too slow.,1
Exited Cruise Control mode.,1
Backwardcollision avoidance unavailable.,0
"Aircraft is landing due to low voltage, which cannot be stopped.",1
Automatically returning to home.,1
Battery <UNKNOWN> requires maintenance.,0
Downward vision sensor calibration error.,1
Be careful when flyinglong distances.,0
Strong wind.,1
APIAPI Takeoff.,1
Setting new Maximum Flight Altitude to <UNKNOWN> .,1
Strong wind warning.,1
Returnto Home failed.,1
SD card fullsize,1
Please contact DJI Support.,0
Entered Cruise Control mode.,1
"Please switch to Normal mode, then back to S-mode to enable it.",0
Auto landing initiated.,1
Distance limit exceeded.,1
API Automatic Return Home.,1
No useto move the stick right.,0
Batteryloaded incorrectly.,1
Max altitude set to <UNK> and max distance set to <UNK> to ensure flight safety.,1
Pay attention to the aircraft's position to avoid RTH failure.,0
Avoid the obstacle.,0
CompassData.,1
The flight attitudeindicator is larger in Sport mode.,1
Use Normal mode if required for stable shooting.,0
Rechargeaccordingly.,0
Cancel Return-to-Home Failed.,1
Advanced Settings ActiveTrack Optimized.,1
Strongfaith.,1
Auto Landing in <SDK> (s).,1
API Automatic Takeoff.,1
Color display in LiveTile is enhanced.,1
"Unknown Error,",1
Away and Follow in progress→,1
"After powering off the aircraft, replace the propeller on the beeping ESC.",0
Forward obstacle sensing ispossible.,0
Cancel Return-to-Home Failed.,1
Auto calibration in progress.,1
Not suitable for shooting a 4K video.,0
forward obstacle avoidance hasstopped working.,1
Geo-awareness function degraded.,1
Error: Course angle control errordetected,1
Flight performance will be affected.,1
soft landing initiated.,1
LandingTangled.,1
Cool down the monitor to prevent overheating.,0
Check whether propellers are installed.,0
Recalibrate using a subject thatis farther away.,0
Exit this mode and try again!,0
Please contact DJI SupportTeam,0
Current elevation above <UNK> .,0
Auxiliary BottomLights turned off.,1
please descend to a saferplace.,0
You can enable Auto Cache Clear or manually delete cache to get enough space.,0
Gimbal <UNK> roll axis endpoint reached.,1
Restart aircraft or contact DJI Support if the issue persists.,0
Aircraft may be in violation of local laws and regulations.,0
Landing Gear Paused.,1
RTH Altitude : 98FT.,0
Gimbal <UNK> pan axisis reached.,1
Warm battery to above <NUM> C(77F) before flying.,0
Sensing system is blocked or too close to the obstacle.,1
Aircraftmissiles automatically descend in <UNK> .,1
Warm battery to above <NUM> C (77F) before flying.,0
Go to Profile > Settings to update firmware.,0
Check for objects blocking motor or contact DJI Support for assistance .,0
Contact DJI Support if this persists.,0
peripheral vision sensor error.,1
Arrived at End Point.,1
"Aircraft is landing due to low voltage,which cannot be stopped.",1
Ascreenshot is in QuickShot Mode.,0
Payload mode enabled.,1
Compass data error.,1
Warning: Critically low battery.,1
Motor <UNK> propeller detached or installedmanually.,1
Altitude above thedecimal point exceeds <UNK> .,1
Motorographical error.,1
Obstacle Avoidance is not available.,0
Return-to-Home Mode is now Auto Landing Mode.,1
SD card full.,1
Aircraft is closeto the Home Point.,1
RTH Altitude : 30m.,0
LandRover gear lowered.,1
Remote ID error:,1
Aircraft takeoff altitude error.,1
Checkand log in.,0
Compass Interference.,1
Downlink data connection lost for <UNK>users.,1
You can enable Auto Cache Clear or manually delete cache to get enough space.,0
Adjust remote controller antennas.,0
Switched to gimbal free mode.,1
Exit this mode and try again.,0
Strong Interference to Aircraft.,1
Aircraft is enteringthe restricted area.,1
Aircraft is in Attitude mode and hoveringmay be unstable.,1
Error: Command Failed.,1
Downward altitude sensor data error.,1
Incorrect installation will cause the aircraftto roll over during takeoff.,0
aircraft braking distance is extended.,0
Auxiliary Bottom Light turned on.,1
Critical low battery.,1
Cannot enter Pano mode.,1
Decrease altitude and fly with caution.,0
Critically LowQuality.,1
You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,0
Landing gear lowered.,1
Aircraft isheading back to the start point.,1
Disable SD card read and write protection or change card.,0
Lighty environment too dark.,1
RTH may be affected.,0
Check Battery Status.,0
Aircraft Entering Restricted Area.,1
Fly with caution and ensure the aircraft remains within your line of sight.,0
Aircraft not linkedby phone number.,0
Aircraft not linked to phone number.,0
Critical lowfrequencies.,1
Battery installed incorrectly.,1
Return to home immediately.,0
Competitive Interference.,1
Videos and photos will still be shot in D-Log mode.,1
Areconnaissance aircraft is approaching.,1
Terminal interruption may be more likely.,0
Cannot change current flight mode.,1
Switched to S (Sport)-Sport.,1
Powertheir aircraft and wait for temperature to return to normal.,0
Battery: Overcurrent During Discharge.,1
Objectsensor close to laser rangefinder.,1
Incompatible firmware version.,1
Ensure there are no metal and magnetic objects near the aircraft and calibrateaccordingly.,0
Battery: OvercurrentBattery Discharge.,1
Battery not installed properly.,1
Criticallyabused power.,1
Forced landing in progress.,1
Switched to S (Sport)-mode.,1
Aircraft will not enter S-mode if powered on with the remote controller set to S-mode.,0
Reinstall battery.,0
Ensure aircraft is level.,0
Image Transmission Recovered.,1
You can reset the RTH Altitude in Remote Controller Settings after cancelling RTH if necessary.,0
Ensure there are no metal or magnetic objects near the aircraft and calibrate it before use.,0
Check propellers and fly with caution.,0
Weak image transmission signal.,1
Aircraft performance decreased to ensure flight safety.,1
Aircraft antenna satellite signal searching error.,1
"The aircraft is dangerously close,",1
Intelligent Flight Modes have not been enabled.,1
Remote ID error.,1
Fly safely!,0
Set altitude in MC Settings if required.,0
The device CPU fully loaded.,1
Ensurethe aircraft battery is properly connected.,0
commuting waypoint mission.,1
Disable SD card read and writecard or change card.,0
Alaptop processor overheated.,1
Cannot switch flightpaths.,1
Switched to gimbal free mode.,1
Ensure your enviornment is free of potential obstacles.,0
Check map to find Recommended Zones.,0
Waituntil taking off.,0
The Waypoint Mission.,1
Cannot takeoff in a no-fly zone.,1
Aircraft is flying back to the start point.,1
Aircraft in Authorization Zone.,1
Remote Interference to Remote Controller.,1
Obstacle Avoiding Disabled.,1
IMU calibration required.,1
Compass disconnected.,1
Another aircraft is approaching.,1
A GPS signal.,1
Insufficient storage space.,1
Solution: Move awayfrom ground magnetic interference.,0
Speed limit exceeded.,1
Geometric-awareness function degraded.,1
Cannot TakePlace in Travel Mode.,1
Aircraft unable to hover.,1
Mobile device version too old to support HD image transmission and the image transmission mode has been switch to normal mode.,1
Insufficient storage space.,1
Aircraft approaching obstacle sensing blind spot and may be unable to detect obstacles.,0
Compass abnormal.,1
Aircraft ActiveTrackdetection speed of <UNK> and Obstacle Avoidance functions normally.,0
Gimbal calibration error.,1
Landing Protection Activated.,1
Video cache has stopped because there is not enough storage space.,1
Solar Power.,1
Restart aircraft.,0
Running Flight Simulator.,1
Aircraft flight control obtained by remote controller B.,1
RTH : Ascending to RTH altitude.,1
Cannot enter TapFly Mode:,1
Not suitable for shooting a 4K video.,0
Vision sensor(s) blocked.,1
Charge battery.,1
Error: Course angle control error.,1
Cannot Track Subject.,1
Aircraft power insufficient.,1
Critically Low Power.,1
ChangeID card.,0
GEO: You are in a Warning Zone (Airport Class Airspace Unpowered Airports Power Plant).,1
Check and linkphone number.,0
Restart aircraft to takeflight.,0
Downlink Restored (after 0m <NUM> .3s):,1
Manned aircraftparked nearby.,1
Precision Landing.,1
Downward vision sensor calibrationcalibration.,1
Landing Gear Paxton.,1
Backward obstacle avoidance unavailable.,0
Return the aircraftsafely home manually.,0
Your aircraft is flying in an Altitude Zone ( <UNK> ).,1
Throttle up to reduce the speed of descent and use sticks to avoid obstacles.,0
CannotSpecify Subject.,1
Downhill Lost.,1
Check battery status and chargeto warm up battery.,0
Sprayer turned ON!,1
Returning home.,1
At Least Two Waypoints Required.,0
Manually control the aircraftand land in an open area.,0
Cache Space Full.,1
Remote IDis normal.,1
Another aircraft is nearby.,1
Auto Landing in <UNK> (s).,1
QuickShots stopped.,1
Tap Fly Flight Ended Landing Gear Lowered.,0
Turn off and retry this function.,0
Your aircraft is flying in an Altitude Zone ( <UNKNOWN> ).,1
"Excessive attitude angle detected,",1
Obstacle Avoided.,1
Aircraft is returningsafely.,1
GPS signalprocessing.,1
